id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,team,opp,loc,age,rookie,regpost,gs
schmj001,PIT200004040,18,3,6,5,5,98,4,1,1,1,0,0,0,26,20,0,0,0,0,PIT,HOU,1,30,0,1,1
wilkm001,PIT200004040,3,0,0,0,0,13,0,0,0,0,0,0,0,3,2,0,1,0,0,PIT,HOU,1,30,0,1,0
silvj001,PIT200004040,3,2,0,0,0,26,1,0,2,0,0,0,0,5,5,0,0,0,0,PIT,HOU,1,30,0,1,0
chrij002,PIT200004040,3,0,0,0,0,18,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,HOU,1,30,0,1,0
reyns001,PIT200004040,21,6,1,2,2,89,4,1,5,0,0,0,1,28,26,0,0,0,0,HOU,PIT,0,30,0,1,1
henrd002,PIT200004040,3,0,1,0,0,16,0,0,0,0,0,0,0,4,3,0,0,0,0,HOU,PIT,0,30,0,1,0
wagnb001,PIT200004040,3,0,1,0,0,22,1,0,0,0,0,0,0,4,3,0,0,0,0,HOU,PIT,0,30,0,1,0
bensk001,PIT200004050,18,7,2,5,2,89,6,1,5,1,0,1,0,26,24,0,0,0,0,PIT,HOU,1,30,0,1,1
saues001,PIT200004050,4,2,4,4,4,40,2,0,1,1,0,1,0,10,6,0,0,0,0,PIT,HOU,1,30,0,1,0
wilkm001,PIT200004050,2,1,1,2,2,18,1,0,0,0,1,0,0,4,2,0,0,1,0,PIT,HOU,1,30,0,1,0
willm005,PIT200004050,3,0,0,0,0,15,3,0,0,0,0,0,0,3,3,0,0,0,0,PIT,HOU,1,30,0,1,0
limaj001,PIT200004050,21,8,2,2,2,102,2,0,6,2,0,0,0,30,27,0,1,0,0,HOU,PIT,0,30,0,1,1
powej001,PIT200004050,3,1,1,0,0,14,0,0,1,0,0,0,0,5,4,0,0,0,0,HOU,PIT,0,30,0,1,0
maddm002,PIT200004050,3,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,HOU,PIT,0,30,0,1,0
cordf001,PIT200004060,24,2,3,1,1,108,7,0,0,2,0,0,0,28,25,0,0,0,0,PIT,HOU,1,30,0,1,1
silvj001,PIT200004060,3,0,0,0,0,7,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,HOU,1,30,0,1,0
holtc001,PIT200004060,15,7,3,2,2,100,5,2,4,1,0,0,0,25,22,0,0,0,0,HOU,PIT,0,30,0,1,1
cabrj001,PIT200004060,3,2,1,2,2,34,2,0,1,1,0,0,0,6,5,0,0,0,0,HOU,PIT,0,30,0,1,0
perey001,PIT200004060,3,2,0,2,1,24,2,0,1,1,0,0,0,5,5,0,0,0,0,HOU,PIT,0,30,0,1,0
maddm002,PIT200004060,3,5,0,4,3,15,0,0,3,1,1,0,0,8,8,0,0,0,0,HOU,PIT,0,30,0,1,0
bensk001,PIT200004110,21,9,2,7,7,107,9,3,5,0,1,0,0,32,30,0,0,0,0,PIT,MON,1,30,0,1,1
wilkm001,PIT200004110,3,0,1,0,0,10,0,0,0,0,0,0,0,3,2,0,0,0,0,PIT,MON,1,30,0,1,0
saues001,PIT200004110,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,MON,1,30,0,1,0
vazqj001,PIT200004110,18,2,3,3,2,89,5,0,1,1,0,0,0,23,18,0,2,0,0,MON,PIT,0,30,0,1,1
klins002,PIT200004110,9,2,0,0,0,24,2,0,2,0,0,0,0,9,9,0,0,0,0,MON,PIT,0,30,0,1,0
cordf001,PIT200004120,16,5,1,4,3,104,2,0,3,2,0,1,0,22,21,0,0,0,1,PIT,MON,1,30,0,1,1
petec001,PIT200004120,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,PIT,MON,1,30,0,1,0
silvj001,PIT200004120,2,0,1,0,0,8,0,0,0,0,0,0,0,3,2,0,0,0,0,PIT,MON,1,30,0,1,0
chrij002,PIT200004120,5,1,0,0,0,25,3,0,1,0,0,0,0,6,6,0,0,0,0,PIT,MON,1,30,0,1,0
willm005,PIT200004120,4,0,0,0,0,17,3,0,0,0,0,0,0,4,4,0,0,0,0,PIT,MON,1,30,0,1,0
pavac001,PIT200004120,15,6,1,3,2,96,6,0,5,1,0,0,0,22,20,0,0,1,0,MON,PIT,0,30,0,1,1
batim001,PIT200004120,2,3,1,3,3,28,2,1,1,1,0,0,0,6,5,0,0,0,0,MON,PIT,0,30,0,1,0
telfa001,PIT200004120,7,1,1,0,0,32,1,0,1,0,0,0,0,7,6,0,0,0,0,MON,PIT,0,30,0,1,0
ritct001,PIT200004130,21,6,1,2,2,85,1,0,3,3,0,0,0,25,24,0,0,0,0,PIT,MON,1,30,0,1,1
saues001,PIT200004130,3,0,1,1,1,19,2,0,0,0,0,0,0,4,3,0,0,0,0,PIT,MON,1,30,0,1,0
silvj001,PIT200004130,3,2,0,0,0,14,1,0,2,0,0,0,0,5,5,0,0,0,0,PIT,MON,1,30,0,1,0
powej002,PIT200004130,18,4,1,2,2,76,5,0,1,2,1,0,0,23,21,0,0,1,0,MON,PIT,0,30,0,1,1
klins002,PIT200004130,2,1,0,0,0,10,0,0,1,0,0,0,0,3,3,0,0,0,0,MON,PIT,0,30,0,1,0
stris001,PIT200004130,4,1,0,0,0,25,3,0,1,0,0,1,0,5,5,0,0,0,0,MON,PIT,0,30,0,1,0
