id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
vinaf001,0,1,4,5,5,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
rente001,0,2,6,5,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0
edmoj001,0,3,8,5,5,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0
clarw001,0,4,3,5,3,2,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0
lankr001,0,5,7,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
mcgwm001,0,5,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paquc001,0,5,7,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tatif001,0,6,5,5,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
drewj001,0,7,9,5,5,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
hernc001,0,8,2,5,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
benea001,0,9,1,4,3,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0
wilkr001,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamem001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vered001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peret004,1,1,9,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
alfoe001,1,2,4,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
piazm001,1,3,2,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ventr001,1,4,5,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeilt001,1,5,3,4,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
agbab001,1,6,7,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
paytj001,1,7,8,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
bordm001,1,8,6,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
franm001,1,8,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
reedr002,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruscg001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hamid001,1,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whitr002,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harrl001,1,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cookd001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wendt001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tramb001,1,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
