id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
schmj001,PIT200004040,18,3,6,5,5,98,4,1,1,1,0,0,0,26,20,0,0,0,0,PIT,0,1,1
wilkm001,PIT200004040,3,0,0,0,0,13,0,0,0,0,0,0,0,3,2,0,1,0,0,PIT,0,1,0
silvj001,PIT200004040,3,2,0,0,0,26,1,0,2,0,0,0,0,5,5,0,0,0,0,PIT,0,1,0
chrij002,PIT200004040,3,0,0,0,0,18,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
bensk001,PIT200004050,18,7,2,5,2,89,6,1,5,1,0,1,0,26,24,0,0,0,0,PIT,0,1,1
saues001,PIT200004050,4,2,4,4,4,40,2,0,1,1,0,1,0,10,6,0,0,0,0,PIT,0,1,0
wilkm001,PIT200004050,2,1,1,2,2,18,1,0,0,0,1,0,0,4,2,0,0,1,0,PIT,0,1,0
willm005,PIT200004050,3,0,0,0,0,15,3,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
cordf001,PIT200004060,24,2,3,1,1,108,7,0,0,2,0,0,0,28,25,0,0,0,0,PIT,0,1,1
silvj001,PIT200004060,3,0,0,0,0,7,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
bensk001,PIT200004110,21,9,2,7,7,107,9,3,5,0,1,0,0,32,30,0,0,0,0,PIT,0,1,1
wilkm001,PIT200004110,3,0,1,0,0,10,0,0,0,0,0,0,0,3,2,0,0,0,0,PIT,0,1,0
saues001,PIT200004110,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
cordf001,PIT200004120,16,5,1,4,3,104,2,0,3,2,0,1,0,22,21,0,0,0,1,PIT,0,1,1
petec001,PIT200004120,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
silvj001,PIT200004120,2,0,1,0,0,8,0,0,0,0,0,0,0,3,2,0,0,0,0,PIT,0,1,0
chrij002,PIT200004120,5,1,0,0,0,25,3,0,1,0,0,0,0,6,6,0,0,0,0,PIT,0,1,0
willm005,PIT200004120,4,0,0,0,0,17,3,0,0,0,0,0,0,4,4,0,0,0,0,PIT,0,1,0
ritct001,PIT200004130,21,6,1,2,2,85,1,0,3,3,0,0,0,25,24,0,0,0,0,PIT,0,1,1
saues001,PIT200004130,3,0,1,1,1,19,2,0,0,0,0,0,0,4,3,0,0,0,0,PIT,0,1,0
silvj001,PIT200004130,3,2,0,0,0,14,1,0,2,0,0,0,0,5,5,0,0,0,0,PIT,0,1,0
schmj001,PIT200004140,21,12,4,4,4,141,6,2,7,2,1,0,0,36,30,0,1,1,1,PIT,0,1,1
wilkm001,PIT200004140,3,0,2,0,0,19,0,0,0,0,0,0,0,4,2,0,0,0,0,PIT,0,1,0
saues001,PIT200004140,3,0,1,0,0,10,0,0,0,0,0,0,0,3,2,0,0,0,0,PIT,0,1,0
willm005,PIT200004140,3,1,1,0,0,11,1,0,1,0,0,0,0,4,3,0,0,0,0,PIT,0,1,0
silvj001,PIT200004140,6,7,1,4,4,35,0,1,5,1,0,0,0,12,11,0,0,0,0,PIT,0,1,0
andej002,PIT200004150,24,5,1,0,0,113,5,0,5,0,0,0,1,30,28,0,0,0,0,PIT,0,1,1
willm005,PIT200004150,3,0,0,0,0,9,2,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
bensk001,PIT200004160,8,5,0,6,3,55,1,2,1,2,0,0,1,15,14,0,0,0,0,PIT,0,1,1
petec001,PIT200004160,3,3,3,3,3,48,1,0,2,1,0,1,0,9,6,0,0,0,1,PIT,0,1,0
wilkm001,PIT200004160,7,4,1,2,2,41,0,0,3,1,0,0,0,12,10,0,0,1,1,PIT,0,1,0
saues001,PIT200004160,6,2,1,1,1,35,0,0,0,2,0,0,0,8,7,0,0,0,0,PIT,0,1,0
chrij002,PIT200004160,3,1,0,0,0,14,3,0,0,1,0,0,0,4,4,0,0,0,0,PIT,0,1,0
ritct001,PIT200004250,23,9,0,3,3,106,8,0,8,1,0,0,0,31,31,0,0,0,0,PIT,0,1,1
chrij002,PIT200004250,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,PIT,0,1,0
garcm002,PIT200004250,1,1,0,0,0,7,0,0,1,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
willm005,PIT200004250,3,1,0,0,0,19,1,0,1,0,0,0,1,4,3,0,0,0,0,PIT,0,1,0
silvj001,PIT200004250,5,2,0,0,0,34,3,0,2,0,0,0,0,7,7,0,0,0,0,PIT,0,1,0
